name	HU_neg_017	HU_neg_028	HU_neg_034	HU_neg_051	HU_neg_060	HU_neg_078	HU_neg_091	HU_neg_093	HU_neg_099	HU_neg_110	HU_neg_130	HU_neg_134	HU_neg_138	HU_neg_149	HU_neg_152	HU_neg_175	HU_neg_178	HU_neg_185	HU_neg_204	HU_neg_208	QC1_001	QC1_002	QC1_003	QC1_005	QC1_006	QC1_008	QC1_009	QC1_011	QC1_012	QC1_014
M62T56	2477523.13809987	4688693.76025342	6021153.45844555	2554919.22257122	4325082.00188823	7792377.0981235	3473130.32286318	2799738.37099979	6221212.56110615	3352328.31731777	2319288.65465843	4712134.03853523	2858910.879774	1495606.68573429	2922047.70459088	742246.671179801	1742945.54092027	926334.874687116	1504355.89363179	1926949.27475869	5806203.75933962	5636809.25031299	5343635.44144705	5123448.31811771	5068392.44017867	3356068.26273945	3105615.67977434	2300709.30034004	1900490.14139787	1193794.74278536
M73T150	125283.236015904	795556.878277588	235576.915212305	119126.894745401	741965.262106963	581144.384851457	554073.054018554	181852.963955612	533676.783082686	208075.006113224	606059.802094761	1414471.59098088	271351.238113515	331046.071631641	515533.039717773	418267.648881417	302048.929385742	62588.0926414267	386375.674971494	52281.2508648594	507592.913810622	477422.476390221	457814.544087012	444857.442358438	448772.313357422	352929.553231944	366841.205444633	296384.225229288	252743.730259521	203427.503433303
M75T60	394446.032849577	1863306.19641075	1000421.53660293	435718.283671875	1761634.63323738	3056870.17125224	2166677.63979165	758699.126957074	2348301.59312172	224520.881122925	1633943.03713835	1777462.06986268	1424942.06792506	1160185.71413505	1320890.46932198	1239880.47169967	758959.331150889	213967.311590438	2836299.50049039	229162.248323785	2629149.24424161	2360742.53659635	2277607.00090002	2069191.69043085	1837047.69947805	1411968.15440318	1394613.52173752	1070504.07166312	886792.588004059	712674.204250122
M79T54	129125.047748998	95876.5877927936	319511.667993783	325255.90153717	176640.000286017	259712.212582861	268963.206479719	59351.9643867294	262759.180558668	131030.043282766	125808.528957624	171784.730563718	470458.953041123	294356.371358634	535284.602263582	178536.181095852	392612.639546349	117598.253304483	958233.490958425	187635.70830282	222721.246599203	236350.215382764	236882.681370326	241611.591675486	264094.141663733	243098.411309872	247579.581962249	243954.803932245	232565.28638599	208717.468666642
M80T379	23329.3868599705	361825.102907834	74553.3726887743	21030.1879415527	1151652.96809948	172481.999413491	530885.329369529	126703.018169702	111078.738792302	183063.095749128	81671.6420063598	512253.372041373	577672.626560352	1201480.95279688	591187.281542294	584330.35305266	154560.490693631	73158.0088376536	855322.95769301	51918.8601104665	233457.46525192	306161.837828171	301676.082900391	417927.050140921	383366.078442893	448554.368807446	392386.649531126	384722.134869457	391063.045444643	370587.116395538
M81T55	6711074.22942437	8446113.42726548	6313198.01388215	4323895.91698521	6190257.03204394	4656293.2220609	5049349.42523069	4430481.05893721	5309884.42120287	4657610.18567959	3108820.1663745	2153422.86475073	1961407.67457317	1496367.73897334	1220012.5773124	1048178.30236453	1158640.72024384	853247.62000784	177264.187766	435425.391490792	8130093.18879055	7541793.37939697	6678506.47950625	5414120.3305821	5125950.17673727	2529950.1076803	2148385.60150629	1222897.8997223	896507.008156278	404251.96651529
M83T55	3163294.75196121	3864240.68521908	2902285.41269976	1986965.26559197	2842137.89072712	2101242.10391536	2379692.67813372	2135721.57169279	2465921.99873709	2159175.87834142	1389182.53171963	888962.032735997	792553.730471873	622848.93626301	504917.02459093	407638.689741591	423054.526937447	319619.069634387	73868.558763855	162359.199454931	3599932.25277975	3387321.12979332	3029847.15002101	2463544.88487947	2427066.36762388	1162120.7324994	909258.229132109	474928.672445737	324100.463373658	138030.281280835
M85T104	376597.881147305	2465795.57329743	1174497.60553825	511813.695383553	3093320.9230271	2736528.48364408	3556494.98124512	1442328.29273974	3477418.30278984	767056.976773704	2872070.97900569	3722767.12397927	4364412.38853841	3369113.25121987	2823955.62481834	3244571.96766389	2530342.99944233	600249.596658951	3673920.5587153	735182.099778471	2294791.16668137	2355822.65966427	2381857.5113137	2506799.53777808	2645601.87957986	2669153.97785275	2633330.4809574	2427025.12463125	2329561.36208921	2019470.66031429
M87T64	444065.46060755	1219441.53662271	773800.298259228	3870695.29958278	1859957.7470302	1283757.06935444	1865117.32927473	885095.871115178	2007211.23525061	663081.04761889	859101.816529272	1304077.77593279	1389815.42114674	2219223.02930943	1239444.67511623	1858729.73627894	1497198.0459043	323653.572905	1373158.01062867	354542.847007812	1501094.97139094	1527798.45454245	1507952.18123178	1534344.88803708	1500797.28749225	1296803.12616943	1294951.69353372	1166984.0578546	999200.01499386	930580.604332974
M87T285	1609754.99269662	2747104.50616188	874992.324084312	311199.903845285	3055243.04846797	1580515.6732202	2576704.07818815	620089.723686682	2508243.37980076	738379.060297066	4109846.61870862	2445093.48928461	3020133.85648675	1869946.04208131	1998247.90848904	1525764.55250761	1272819.65855137	331431.055285357	2860965.64173681	329041.225847567	3035434.0612	2551804.7090395	2830106.88384757	2449934.99919393	2665142.26373509	2074901.3692029	1898722.89222218	1785028.35338877	1322531.25927883	1122837.96156365
M93T52	5539771.3370693	9876253.65847019	4452067.85748709	3217471.57365278	7121342.85198365	5700277.85737827	7440256.86848965	6329606.31000489	6949680.39404302	9137962.8501347	9469405.52953918	5060641.1956548	2662426.47838515	2919242.7985984	2800337.80730898	4853853.74879605	5230128.76235883	4269324.89167603	116687.48792309	2389073.40535302	6663387.27181153	6754288.16707167	6797769.77854979	6141905.21879592	6383835.91843658	5146134.00849673	4990386.32244015	4095287.88902985	3871408.38967379	3110923.23868027
M95T52	3437724.05240406	6298842.54883985	2551820.00471386	1776926.95035357	4532614.67458762	3577317.64297003	4812338.665213	3963223.53446191	4468032.12256674	5862844.69761046	6180290.68137774	3330305.3738922	1657958.17834232	1842449.62137293	1845592.75179533	3177828.18433672	3379543.66468545	2764295.60809222	127735.732319315	1529030.05338835	4155144.9032308	4201532.0904475	4191960.40777319	3896039.31069937	3994137.24167319	3312807.21028533	3198622.90465444	2659824.10353758	2508275.48890382	2034150.74152423
M97T67	87898138.0617807	67918771.0321697	86190097.3205804	68704443.4625172	63778702.0956951	64001525.6187179	67647417.5989613	71339986.4366406	83425474.3630411	61713663.3603722	48958393.4083147	51817311.2997854	70123022.4930403	74786587.632375	58098532.7607099	45327575.3325417	41370885.8658108	53619903.8263889	42215665.016142	46810122.2517823	82447330.4562903	88626324.5129879	84235306.0517223	86378683.9311997	86808326.7287425	71514673.8080345	67290800.833275	60561860.5146935	53923556.8368009	41692302.8100928
M98T68	458907.961613737	281513.464008752	424306.861944935	312338.895585425	241589.098472384	260030.149734591	295412.8407858	360627.892226535	444996.232936127	315894.87162784	212672.48284661	224603.806422105	265870.331457368	297136.573888005	275710.28589743	232889.96882409	195232.10264189	325341.653395766	133099.663808478	298779.243090268	294499.564408203	380808.280289571	384129.11090161	435671.583384555	441234.184317289	387149.696806053	345918.914625317	342353.033192352	319677.518891525	234619.186741069
M99T68	3905707.00096023	3111120.37290211	3645510.38754953	2944315.32102877	3083442.30766892	2516611.83502775	2917246.90159542	3227053.07801971	3712572.5215772	2754866.40095032	2064396.97810976	2124939.78598443	3133586.40808536	3489521.69566636	2376223.67230516	2051451.54677965	1844934.5603468	2822133.78128034	1635199.85287116	2435594.92858676	3698753.83547107	3685724.52476753	3580863.39973277	3815172.17705627	3814052.43748002	3244541.91069245	3086412.16535338	2857379.80776574	2607651.37999762	1995839.73632477
M99T318	893004.940476138	3176033.58126889	1476948.50719633	427865.061466207	2776205.41323879	1678106.76317902	1816044.70971069	788147.258226406	1444283.23799218	2151334.40089653	1867793.66876162	1727665.29243132	1951978.916375	1612376.18279104	1614573.97841181	1907354.89738304	1289992.98260643	1531892.64557755	2253689.85270379	519177.052568201	3082187.68438123	2616632.52223404	2601329.61410306	2437346.2096669	2447512.538625	2184351.72839875	1963788.22865123	1924347.30463814	1668529.64366676	1344392.11384668
M100T415	245824.455041444	674079.914906076	234102.564474074	332190.107076616	619153.84179743	740530.083151024	331068.669876643	214873.523406104	743698.674832463	286893.027698451	196134.81792456	193896.673586804	357027.461774569	386051.193592029	486279.116812326	424722.681525879	173153.403695702	132063.583794433	244489.693630887	175937.219066512	341712.894248557	395868.034547754	368083.787208252	381713.997328875	419646.750306118	358045.175879144	370878.043305469	336360.077238127	330000.04583504	296385.179639763
